Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,Hip ad/abduction moment,Hip in/external rotation moment,Hip power,Knee ad/abduction angle,Knee ad/abduction moment,Knee in/external rotation moment,Ipsi/contralateral pelvic lean,EMG activation for gastrocnemius,EMG activation for soleus
103,2.621237209,31.2886,2.2921,2.97563,0.314433,11.4206,7.11568,0.934424,-0.0906397,-4.77635,-3.22475,0.966733,0.288025,-10.8834,0.888560677,0.918306143
104,2.804905771,28.5319,2.17011,2.84614,0.308284,14.0936,7.00921,0.842802,-0.054778,-5.28547,-3.18772,0.818347,0.261214,-11.1905,0.864573302,0.897258066
105,3.078091331,25.1647,2.07952,2.65956,0.298919,16.0673,6.78223,0.735394,-0.0227516,-5.29775,-3.13629,0.650768,0.223933,-11.4418,0.840828714,0.874992577
106,3.530145009,21.2049,2.01756,2.40733,0.282409,16.9061,6.38672,0.605286,0.000926378,-4.91501,-3.10435,0.474163,0.175843,-11.6318,0.81169425,0.850521324
107,4.453295778,16.7218,1.97848,2.09028,0.257143,16.3027,5.76641,0.448829,0.0148321,-4.34515,-3.11439,0.300739,0.121497,-11.7563,0.778969773,0.821545222
108,7.45952469,11.8516,1.95543,1.72141,0.216502,14.229,4.92001,0.254045,0.0200633,-3.75218,-3.17119,0.13186,0.0643419,-11.8116,0.748410958,0.791368676
109,1.478131582,42.6183,5.02094,2.69077,0.304658,14.1641,6.74373,1.55403,-0.0906163,-8.40969,20.7184,0.53248,-0.0518018,-9.64299,0.917300485,0.884579839
110,1.554845138,39.318,5.33019,2.59755,0.280284,17.4581,6.16105,1.68749,-0.11643,-9.56873,17.4049,0.276843,-0.0891471,-9.80792,0.891920025,0.850565932
111,1.70480019,34.8567,5.71251,2.49159,0.261842,20.3263,5.91273,1.43479,-0.1519,-8.48372,14.1971,-0.100924,-0.141848,-9.97096,0.868956431,0.813905665
112,1.980047415,29.0471,6.1183,2.33203,0.237722,22.2416,5.51194,1.10923,-0.199216,-6.90029,11.3226,-0.48706,-0.205404,-10.1126,0.846728014,0.773545269
113,2.537872209,21.8641,6.43534,2.0532,0.182175,22.1157,4.77063,0.864795,-0.243392,-5.35747,9.03859,-0.799471,-0.271631,-10.214,0.828802741,0.732189078
114,4.363769872,13.7145,6.50307,1.60011,0.0980041,18.6985,3.80684,0.534801,-0.266802,-2.85773,7.61795,-1.03564,-0.318335,-10.2599,0.822812287,0.689608605
115,4.121238946,21.224,8.42255,3.31762,0.329095,13.7098,9.2068,0.749641,-0.0192891,-0.16763,18.1408,1.30874,0.403458,-11.5424,0.9136451,0.765236177
116,4.613639936,19.3448,7.93772,3.23395,0.302668,15.5388,9.12504,0.778703,-0.0168134,-0.447903,17.3738,1.24372,0.39784,-11.8476,0.901568394,0.747885128
117,5.363701191,17.2448,7.42282,3.1271,0.271388,17.2099,8.9966,0.791687,-0.0139148,-0.597769,16.6011,1.16373,0.387999,-12.1458,0.887863771,0.728091092
118,6.637597328,14.926,6.87991,2.99182,0.239776,18.5699,8.79798,0.79888,-0.0104219,-0.66169,15.8235,1.07773,0.376145,-12.4358,0.872208517,0.706783185
119,9.308646367,12.3975,6.3129,2.83039,0.204829,19.5087,8.53029,0.779051,-0.00563155,-0.578045,15.0427,0.975019,0.359367,-12.7161,0.857306264,0.684832045
120,18.46241141,9.67593,5.72815,2.6463,0.169459,19.9082,8.19852,0.737404,-0.000373302,-0.239073,14.2625,0.858816,0.342803,-12.985,0.842945454,0.662507309
121,1.704377125,52.5963,3.76126,1.86836,0.183067,-0.0118872,9.96725,-1.77986,0.200773,7.59941,30.9289,1.05218,0.0928782,-9.36858,1,1
122,1.694149308,52.5792,3.75586,1.85657,0.18282,0.401183,9.84366,-1.71496,0.211335,7.6307,30.1091,1.00026,0.0867589,-9.35783,0.982273129,0.987451508
123,1.678296901,52.4966,3.75211,1.83643,0.186094,0.870593,9.68299,-1.63451,0.218024,7.56492,29.1973,0.94118,0.0841923,-9.3451,0.964110817,0.97408438
124,1.657314729,52.3393,3.75117,1.80826,0.183603,1.39229,9.44843,-1.54287,0.222538,7.3064,28.1922,0.87008,0.0760151,-9.33094,0.944530691,0.958484368
125,1.625941545,52.097,3.75439,1.76614,0.181943,1.95447,9.15147,-1.43354,0.224184,6.8817,27.0949,0.791792,0.0698792,-9.31587,0.919649544,0.938949915
126,1.588456552,51.758,3.76322,1.71461,0.178001,2.5449,8.77681,-1.311,0.222946,6.27283,25.9093,0.703702,0.062921,-9.3003,0.893369515,0.91502185
